movie_name,genre,rating,vote_count,duration
We're All Going to Die,documentary,7.1,11,1h 33m
Doc of Chucky,documentary,7.6,345,4h 55m
Line in the Sand,documentary,8.7,110,1h 40m
"Siggi - drengen, der blev FBI-spion",documentary,6.7,146,1h 30m
Not Just a Goof,documentary,7.7,480,1h 27m
Future Council,documentary,7.5,32,1h 21m
You Are Not Alone: Fighting the Wolf Pack,documentary,7.4,1400,1h 42m
Diane von Furstenberg: Woman in Charge,documentary,7.3,337,1h 37m
Follow the Rain,documentary,7.2,138,1h 17m
El Sobreviviente Elizalde,documentary,7.1,21,N/A
The Waiting Game,documentary,9.7,27,1h 29m
Strike: An Uncivil War,documentary,7.6,346,1h 50m
Ikinci Raunt,documentary,7.8,2600,N/A
Real,documentary,7.6,90,1h 30m
The Promise,documentary,8.8,242,1h
Microphone Check,documentary,9.1,61,2h 18m
Cheech & Chong's Last Movie,documentary,7.3,597,2h
How to Rob a Bank,documentary,6.6,4400,1h 28m
Dahomey,documentary,6.8,3000,1h 8m
The Last Journey,documentary,7.8,5700,1h 35m
Every Little Thing,documentary,7.2,350,1h 33m
¡Casa Bonita Mi Amor!,documentary,7.6,1600,1h 28m
"My Wife, My Abuser: The Secret Footage",documentary,7.1,900,55m
El Apocalipsis de San Juan,documentary,6.9,220,1h 50m
The Streak,documentary,8.8,12,1h 27m
Blink,documentary,7.2,786,1h 23m
Zero Se Restart,documentary,7.2,173,1h 28m
Daughters,documentary,7.5,1800,1h 48m
The Wolves Always Come at Night,documentary,7.2,96,1h 35m
ZEF: The Story of Die Antwoord,documentary,7.4,862,1h 30m
Fly,documentary,7.2,653,1h 50m
Trust Me,documentary,6.3,62,1h 28m
Child Star,documentary,6.5,1400,1h 38m
Lie to Me,documentary,7.4,51,1h 34m
Tom Petty: Heartbreakers Beach Party,documentary,7.3,322,1h 24m
Truth or Dare,documentary,5.3,8,1h 19m
Left Write Hook,documentary,8.0,13,1h 38m
Trapped,documentary,8.6,17,1h 22m
Look Into My Eyes,documentary,5.5,612,1h 45m
The Roast of Tom Brady,documentary,7.2,6000,2h 59m
Aliens Expanded,documentary,8.1,666,4h 42m
The Water Front,documentary,N/A,N/A,1h 5m
The War on Children,documentary,5.7,725,2h 21m
Sam and Colby: The Legends of the Paranormal,documentary,4.8,321,1h 38m
Harley Flanagan: Wired for Chaos,documentary,7.0,46,1h 39m
Where Olive Trees Weep,documentary,8.6,457,1h 43m
Nilgiris: A Shared Wilderness,documentary,9.0,93,1h 15m
Ellis Park,documentary,7.3,112,1h 44m
The Last of the Sea Women,documentary,7.0,723,1h 27m
The Commandant's Shadow,documentary,7.3,1200,1h 43m
Wishing on a Star,documentary,6.6,231,1h 39m
Playing to Survive: von Cramm vs Hitler,documentary,7.9,28,1h 41m
Blind Spots,documentary,N/A,N/A,1h 22m
Lula,documentary,5.3,213,1h 30m
Kargil 1999- The Untold Story of the Indian Air Force,documentary,8.3,24,N/A
The Ark and the Darkness,documentary,5.3,524,2h 5m
The Best of Me,documentary,N/A,N/A,1h 29m
Brandy Hellville & the Cult of Fast Fashion,documentary,6.2,1100,1h 31m
Stormy,documentary,6.3,1100,1h 49m
Getting Lost,documentary,7.1,800,2h
Christspiracy,documentary,8.5,640,1h 51m
Lesvia,documentary,7.0,156,1h 18m
Bitconned,documentary,6.5,4200,1h 33m
ABBA: Against the Odds,documentary,7.3,672,1h 30m
Bad Actor: A Hollywood Ponzi Scheme,documentary,5.3,231,1h 27m
Rise of OnlyFans,documentary,4.5,171,52m
"MoviePass, MovieCrash",documentary,6.7,2900,1h 36m
Road Diary: Bruce Springsteen and the E Street Band,documentary,7.7,1100,1h 39m
The Extraordinary Miss Flower,documentary,7.0,61,1h 13m
Federer: Twelve Final Days,documentary,7.3,4300,1h 28m
XiXi,documentary,7.1,18,1h 40m
Money Electric: The Bitcoin Mystery,documentary,6.8,4700,1h 40m
Zeitgeist: Requiem,documentary,9.0,76,1h 30m
Georgia O'Keeffe: The Brightness of Light,documentary,9.3,23,1h 58m
Flight 103 Bombing: Minute by Minute,documentary,N/A,N/A,45m
The Great Warning,documentary,5.9,145,1h 30m
The Road to Patagonia,documentary,7.5,148,1h 30m
From Darkness to Light,documentary,7.4,259,1h 48m
The Antisocial Network: Memes to Mayhem,documentary,6.4,2800,1h 25m
Garbo: Where Did You Go?,documentary,5.9,284,1h 30m
Untold: The Murder of Air McNair,documentary,5.6,2200,57m
No Cap,documentary,5.7,44,1h 48m
Atomic People,documentary,8.3,198,1h 30m
This Is Benjamin Ingrosso: Part 1,documentary,5.7,206,N/A
Agent of Happiness,documentary,7.2,1300,1h 33m
Dogs of War,documentary,7.1,47,1h 30m
From the River to the Sea: The Frontiers of Faith,documentary,8.6,1400,2h 20m
We Can Be Heroes,documentary,9.2,25,1h 26m
Recorded as Stated by Me,documentary,7.6,37,N/A
In Search of Darkness 1990-1994: A Journey Into Iconic '90s Horror,documentary,8.0,182,6h 3m
Freediver,documentary,6.4,156,1h 28m
RRR: Behind & Beyond,documentary,8.1,379,1h 38m
"Sudan, Remember Us",documentary,7.6,99,1h 18m
Flynn,documentary,5.1,505,2h 6m
Emma and Eddie: A Working Couple,documentary,4.8,481,1h 33m
Denominación de origen,documentary,8.1,359,1h 26m
Chhava,documentary,8.4,2300,51m
Ilana Glazer: Human Magic,documentary,6.1,348,55m
Union,documentary,7.1,305,1h 40m
Battle for Disclosure,documentary,5.5,249,2h 21m
Memories of Love Returned,documentary,9.3,12,1h 16m
76 Days Adrift,documentary,N/A,N/A,1h 45m
First Do No Pharm,documentary,9.5,53,N/A
The Accidental Twins,documentary,7.2,1200,1h 24m
Diane Warren: Relentless,documentary,7.5,118,1h 31m
Men of War,documentary,7.8,36,1h 38m
Bogart: Life Comes in Flashes,documentary,6.9,500,1h 39m
Andrea Bocelli 30: The Celebration,documentary,8.3,175,2h 28m
WZZQ the Movie,documentary,7.4,6,N/A
Eno,documentary,8.0,328,1h 25m
Dawn Dusk,documentary,9.9,10,1h 32m
Alipato at muog,documentary,9.0,6,1h 36m
Wild Wild Space,documentary,6.8,623,1h 33m
The Doomsday Cult of Antares De La Luz,documentary,5.8,1100,1h 40m
The Blair Witch Documentary,documentary,6.6,103,2h 30m
Yo Yo Honey Singh: Famous,documentary,6.8,5000,1h 20m
The True Story of Tamara de Lempicka & The Art of Survival,documentary,8.8,48,1h 36m
The Flight of Bryan,documentary,6.4,19,1h 39m
Freaknik: The Wildest Party Never Told,documentary,5.9,454,1h 22m
Disco's Revenge,documentary,7.0,147,1h 40m
War Game,documentary,5.5,650,1h 34m
Dharmaveer 2,documentary,5.4,11000,2h 10m
Jamie Foxx: What Had Happened Was...,documentary,5.8,2100,1h 8m
A Fly on the Wall,documentary,8.0,14,1h 22m
Swamp Dogg Gets His Pool Painted,documentary,7.7,141,1h 35m
If Jack Reacher Could Sing,documentary,7.6,12,31m
Kix,documentary,7.9,1200,1h 34m
Children of the Cult,documentary,7.4,118,1h 15m
Breaking Into Beautiful,documentary,8.9,28,1h 28m
Source,documentary,8.2,81,52m
Antidote,documentary,7.5,172,1h 29m
Black Snow,documentary,8.0,42,1h 36m
Never Look Away,documentary,7.1,311,1h 25m
Seksi: Pantasya at pelikula,documentary,6.2,24,49m
Kaizen,documentary,7.0,804,2h 40m
Topuria Matador,documentary,7.1,195,1h 35m
The Greatest Love Story Never Told,documentary,5.0,1500,1h 26m
I Cut Off His Penis: The Truth Behind the Headlines,documentary,5.9,31,1h 30m
Here to Climb,documentary,5.9,239,1h 19m
Motherboard,documentary,7.2,42,1h 27m
To the Journey: Looking Back at Star Trek: Voyager,documentary,7.5,46,1h 49m
Separated,documentary,6.5,225,1h 33m
ChiefsAholic: A Wolf in Chiefs Clothing,documentary,6.3,426,2h 1m
The Final: Attack on Wembley,documentary,6.3,2600,1h 22m
The Bones,documentary,6.2,69,1h 38m
Occupied,documentary,6.1,15,1h 48m
Tiger,documentary,7.9,631,1h 30m
Marcella,documentary,8.2,56,1h 37m
"Jeste nejsem, kým chci být",documentary,7.7,275,1h 30m
Miyazaki: L'Esprit de la Nature,documentary,7.1,335,1h 24m
Bandidos - Ein Leben zwischen Freiheit und Gesetz,documentary,5.3,39,1h 54m
The Invasion,documentary,6.6,131,2h 25m
Among Neighbors,documentary,9.6,54,1h 40m
Diving Into the Darkness,documentary,7.4,104,1h 36m
Heart of a Servant: The Father Flanagan Story,documentary,9.6,49,1h 30m
Nocturnes,documentary,7.0,140,1h 22m
My Partners,documentary,4.2,50,1h 37m
Norman's Rare Guitars Documentary,documentary,7.7,278,1h 38m
From Russia with Lev,documentary,8.2,897,1h 32m
Girls State,documentary,6.6,1000,1h 37m
Spermworld,documentary,7.0,1300,1h 24m
Viktor,documentary,6.9,119,1h 29m
The Brink of Dreams,documentary,7.1,151,1h 42m
Elevation,documentary,9.0,66,1h 30m
The Relentless Patriot,documentary,6.4,217,1h 34m
TURA!,documentary,N/A,N/A,1h 45m
Schindler Space Architect,documentary,7.1,12,1h 33m
To Dye For: The Documentary,documentary,6.0,276,1h 24m
Blur: To the End,documentary,7.1,809,1h 44m
Two Strangers Trying Not to Kill Each Other,documentary,7.0,120,1h 40m
"Thank You, Dr. Fauci",documentary,6.8,538,1h 31m
"Cheers! Portland, the Strip Club Capital of America",documentary,6.4,30,1h 46m
The Movie Man,documentary,7.6,234,1h 29m
Larger Than Life: Reign of the Boybands,documentary,6.8,330,1h 35m
Tata,documentary,7.5,78,1h 22m
To Close Your Eyes and See Fire,documentary,8.2,36,1h 39m
Ms. President,documentary,7.8,220,1h 48m
Mysteries of the Terracotta Warriors,documentary,6.7,1800,1h 17m
Nosferatu: The Real Story,documentary,7.2,36,1h 11m
Chris Brown: A History of Violence,documentary,5.4,341,1h 22m
The Mountain Within Me,documentary,6.6,180,1h 29m
Nobu,documentary,8.9,13,1h 50m
Dinner with Leatherface,documentary,7.3,44,1h 46m
Twiggy,documentary,7.4,84,1h 34m
Government Gangsters,documentary,4.0,346,1h 4m
Excalibur,documentary,N/A,N/A,28m
Mrs. Robinson,documentary,7.0,56,1h 34m
Fiore mio,documentary,6.7,174,1h 20m
The Honey Trap,documentary,5.7,190,1h 22m
The Real Full Monty,documentary,7.2,153,1h 25m
Rape Play,documentary,N/A,N/A,1h 22m
Watching you - Die Welt von Palantir und Alex Karp,documentary,5.4,48,1h 43m
Pignorant,documentary,8.2,1900,1h 42m
Lost in the Amazon,documentary,6.9,22,N/A
Stevie Van Zandt: Disciple,documentary,7.9,718,2h 27m
Ernest Cole: Lost and Found,documentary,7.3,446,1h 45m
Between the Mountain and the Sky,documentary,9.0,28,1h 32m
Eden.,documentary,7.4,5,N/A
Breaking Olympia: The Phil Heath Story,documentary,7.1,280,1h 54m
Beyond After,documentary,5.7,27,1h 33m
Stripped: Nashville,documentary,5.2,59,1h 22m
Concussed: The American Dream,documentary,7.7,50,N/A
The Flamenco Guitar of Yerai Cortés,documentary,7.2,404,1h 35m
The Day Iceland Stood Still,documentary,7.9,135,1h 10m
King's Gambit,documentary,6.7,9,1h 18m
"Mon Laferte, te amo",documentary,6.8,214,1h 17m
Vigilantes Inc.: America's New Vote Suppression Hitmen,documentary,9.1,101,1h 18m
The Rubber-Keyed Wonder,documentary,7.5,157,2h 21m
An American Bombing: The Road to April 19th,documentary,6.8,955,1h 47m
Booty Warrior,documentary,8.5,12,1h
Nature of the Crime,documentary,6.4,135,1h 29m
Make It Look Real,documentary,7.0,7,1h 8m
Shadowland,documentary,6.5,203,1h 38m
Matt Rife: Lucid - A Crowd Work Special,documentary,6.4,1700,54m
Where Dragons Live,documentary,7.5,66,1h 22m
Dreambreaker: A Pickleball Story,documentary,6.3,30,N/A
A Photographic Memory,documentary,7.5,43,1h 27m
A King Like Me,documentary,6.8,70,1h 30m
The Accidental President,documentary,6.9,35,1h 30m
Wicked: The Real Story,documentary,6.9,39,1h 30m
Only Andy,documentary,5.0,44,59m
Fanatical: The Catfishing of Tegan and Sara,documentary,6.4,795,1h 39m
Life After the NeverEnding Story,documentary,8.0,76,1h 31m
The Last Ecstatic Days,documentary,7.8,10,1h 15m
Pathological: The Lies of Joran van der Sloot,documentary,6.5,358,1h 33m
On the Trail of Bigfoot: Land of the Missing,documentary,6.5,21,1h 17m
RUNN,documentary,7.8,110,56m
"Ado SPECIAL LIVE ""Shinzou"" in Cinema",documentary,9.0,60,2h 20m
Mariposas Negras,documentary,7.0,80,1h 23m
"Little, Big, and Far",documentary,6.9,24,2h 1m
The Sixth,documentary,6.8,533,1h 46m
