movie_name,genre,rating,vote_count,duration
The Front Room,horror,4.6,6100,1h 34m
Munkar,horror,5.2,586,1h 27m
Sumala,horror,5.8,1300,1h 52m
Death's Sonata,horror,8.3,566,1h 43m
Handling the Undead,horror,5.3,4700,1h 37m
Consumed,horror,3.7,748,1h 29m
Hotspring Sharkattack,horror,5.7,139,1h 10m
Believer,horror,4.7,499,1h 48m
#MissingCouple,horror,5.3,858,1h 33m
Winnie-the-Pooh: Blood and Honey 2,horror,4.6,12000,1h 33m
The Hostage,horror,4.3,20,1h 27m
Crescent City,horror,3.9,1500,1h 43m
Death Whisperer 2,horror,6.3,1600,1h 50m
Compulsion,horror,6.2,48,R
Beezel,horror,4.9,1700,1h 21m
Desert Road,horror,6.8,170,1h 30m
1978,horror,5.0,957,1h 20m
Bloody Axe Wound,horror,5.0,1100,1h 23m
Scared Shitless,horror,6.1,230,1h 16m
House of Spoils,horror,5.0,4100,1h 41m
Conjuring the Cult,horror,4.2,970,1h 33m
Carved,horror,4.4,2900,1h 35m
The Painted,horror,4.9,1300,1h 25m
The Witch: Revenge,horror,5.3,918,1h 40m
The Radleys,horror,5.0,3200,1h 55m
Here After,horror,4.2,1900,1h 33m
Souls of the Damned,horror,3.3,47,57m
Wynonna Earp: Vengeance,horror,5.6,1800,1h 36m
The Beldham,horror,7.0,49,1h 25m
Dancing Village: The Curse Begins,horror,5.7,4300,2h 2m
Estela,horror,5.4,55,1h 29m
Missing Child Videotape,horror,5.5,288,1h 44m
Cinderella's Revenge,horror,3.8,1300,1h 25m
Terminator: Skynet Rising,horror,6.6,309,1h 28m
Test Screening,horror,6.8,73,1h 32m
Dark Match,horror,5.5,1300,1h 34m
The Dead Thing,horror,4.7,1100,1h 34m
Hold Your Breath,horror,5.3,9200,1h 34m
There's a Zombie Outside,horror,3.1,167,1h 15m
Mr. Crocket,horror,5.4,5100,1h 28m
Bhool Bhulaiyaa 3,horror,4.6,78000,2h 38m
Exorcism Chronicles: The Beginning,horror,6.4,159,1h 25m
The Last Breath,horror,4.7,2800,1h 36m
The American Backyard,horror,6.1,298,1h 47m
Else,horror,5.5,609,1h 42m
A Very Special Terrifier Christmas,horror,5.3,43,1h 10m
Fear Cabin: The Last Weekend of Summer,horror,3.8,46,1h 17m
Ba,horror,5.7,156,1h 19m
Outside,horror,5.1,5000,2h 22m
Cinderella's Curse,horror,3.4,1400,1h 22m
Heresy,horror,6.8,344,1h 1m
The Only Ones,horror,6.9,35,1h 17m
The Ceremony Is About to Begin,horror,4.4,858,1h 10m
Dooba Dooba,horror,6.7,18,1h 16m
The Matriarch,horror,8.1,211,1h 22m
Sunrise,horror,3.9,1300,1h 33m
Out Come the Wolves,horror,4.7,1900,1h 26m
Phallacies,horror,8.7,9,1h 41m
Last Night at Terrace Lanes,horror,4.4,667,1h 15m
The Severed Sun,horror,4.9,456,1h 20m
Waltz,horror,9.4,8,N/A
Haunt Season,horror,4.9,973,1h 21m
Frankie Freako,horror,5.5,1500,1h 25m
Its Name Was Mormo,horror,3.7,207,1h 33m
DarkGame,horror,4.6,3000,1h 40m
Thayyal Machine,horror,9.0,1000,1h 31m
Hell Hole,horror,4.5,1400,1h 32m
Little Bites,horror,4.7,1400,1h 45m
Bleeding,horror,4.2,403,1h 37m
Operation Blood Hunt,horror,3.4,550,1h 33m
Malice,horror,2.8,49,1h 34m
The Train of Death,horror,4.7,757,1h 43m
